Experiment Name, Number of Applications, Duration, All Received?, Latency Average, Latency SD, Latency Max, Latency Min, Thoughput Average, Thoughput SD, Thoughput Max, Throughput Min
2-1-1600000, 1, 182, true, 679.5305903378276, 39.633437939513705, 766.2805679726532, 652.0891010342084, 1477.7585854208978, 534.4748796736893, 1774.7315268473153, 334.04709529047096
2-1-1800000, 1, 183, true, 671.3121738388397, 8.622832019443221, 677.656880733945, 654.3561643835617, 1663.554543284992, 547.2886995194176, 1991.4607078584283, 578.967403259674
2-1-2000000, 1, 186, true, 2096.051212743877, 1485.2194420227643, 4683.748765611385, 721.522670025189, 1910.4925408923725, 369.79822948450266, 2151.471758472458, 1166.6894310568944
1-1-100000, 1, 182, true, 627.2633816673607, 59.62427634584951, 732.502487562189, 571.5783132530121, 75.53354172154214, 28.36742904384545, 96.83451654834516, 15.434856514348565
1-1-200000, 1, 182, true, 645.1683882197325, 47.54932054289576, 752.4939759036145, 620.1113585746102, 159.76539114088592, 60.117135038364374, 194.3983, 27.775122487751226
1-1-300000, 1, 182, true, 646.7510900097086, 37.59813663563286, 723.3875181422351, 602.2587666263603, 248.38019936149246, 87.14086366312262, 300.6167, 58.034396560343964
1-1-400000, 1, 182, true, 664.2022431338206, 63.2818218853242, 803.6041666666666, 619.6601941747573, 316.5780727784365, 116.35910741751249, 391.85001499850017, 65.0512
1-1-500000, 1, 182, true, 658.8509515940617, 42.468380793621506, 750.7966549295775, 623.3021335168617, 412.1876989348495, 149.26006915389885, 512.5281471852815, 87.37226277372262
1-1-600000, 1, 182, true, 688.9383090520847, 54.08023850621368, 806.5522496371553, 648.4521049420379, 489.4565654247393, 171.8385732751428, 585.2628737126288, 112.27697230276972
1-1-700000, 1, 182, true, 663.2268954695659, 54.40522147577229, 783.3851174934725, 628.8031297324584, 572.685491622634, 206.99267021686865, 705.953404659534, 125.8407
1-1-800000, 1, 183, true, 667.3203180793486, 8.198177972458883, 680.6626809314034, 653.2096980008507, 673.6771762563324, 216.8531005400097, 809.5654434556544, 232.6475
1-1-900000, 1, 182, true, 720.098939210274, 35.38619118540458, 779.0165995975855, 678.1328125, 757.406766441932, 271.71029297846366, 914.1558844115589, 172.52804719528046
1-1-1000000, 1, 182, true, 678.1366419276858, 55.36586261533558, 799.1809856083734, 644.6591503267974, 844.5705790631195, 299.3514386462511, 1017.1983801619838, 197.2201
